point,coordinates,hour,count
P001,"-0.29755,-78.46091",3,2
P001,"-0.29755,-78.46091",6,1
P001,"-0.29755,-78.46091",8,1
P001,"-0.29755,-78.46091",9,1
P001,"-0.29755,-78.46091",16,1
P001,"-0.29755,-78.46091",22,2
P001,"-0.29755,-78.46091",23,1
P002,"-0.29719,-78.4612",2,1
P002,"-0.29719,-78.4612",3,2
P002,"-0.29719,-78.4612",6,1
P002,"-0.29719,-78.4612",8,1
P002,"-0.29719,-78.4612",9,1
P002,"-0.29719,-78.4612",16,2
P002,"-0.29719,-78.4612",21,1
P002,"-0.29719,-78.4612",22,2
P002,"-0.29719,-78.4612",23,1
P003,"-0.29655,-78.46152",2,1
P003,"-0.29655,-78.46152",3,2
P003,"-0.29655,-78.46152",6,1
P003,"-0.29655,-78.46152",8,1
P003,"-0.29655,-78.46152",16,2
P003,"-0.29655,-78.46152",21,1
P003,"-0.29655,-78.46152",22,2
P003,"-0.29655,-78.46152",23,1
P004,"-0.29605,-78.46169",2,1
P004,"-0.29605,-78.46169",3,2
P004,"-0.29605,-78.46169",6,1
P004,"-0.29605,-78.46169",8,1
P004,"-0.29605,-78.46169",16,2
P004,"-0.29605,-78.46169",18,1
P004,"-0.29605,-78.46169",21,1
P004,"-0.29605,-78.46169",22,2
P004,"-0.29605,-78.46169",23,1
P005,"-0.29447,-78.46261",1,1
P005,"-0.29447,-78.46261",2,2
P005,"-0.29447,-78.46261",6,1
P005,"-0.29447,-78.46261",7,1
P005,"-0.29447,-78.46261",8,1
P005,"-0.29447,-78.46261",9,1
P005,"-0.29447,-78.46261",11,2
P005,"-0.29447,-78.46261",13,1
P005,"-0.29447,-78.46261",14,2
P005,"-0.29447,-78.46261",15,1
P005,"-0.29447,-78.46261",16,2
P005,"-0.29447,-78.46261",18,3
P005,"-0.29447,-78.46261",19,2
P005,"-0.29447,-78.46261",20,1
P005,"-0.29447,-78.46261",21,3
P005,"-0.29447,-78.46261",22,1
P005,"-0.29447,-78.46261",23,1
P006,"-0.29299,-78.46358",1,1
P006,"-0.29299,-78.46358",2,1
P006,"-0.29299,-78.46358",6,1
P006,"-0.29299,-78.46358",7,1
P006,"-0.29299,-78.46358",8,2
P006,"-0.29299,-78.46358",9,1
P006,"-0.29299,-78.46358",11,2
P006,"-0.29299,-78.46358",12,1
P006,"-0.29299,-78.46358",13,2
P006,"-0.29299,-78.46358",14,2
P006,"-0.29299,-78.46358",15,1
P006,"-0.29299,-78.46358",16,1
P006,"-0.29299,-78.46358",18,4
P006,"-0.29299,-78.46358",19,2
P006,"-0.29299,-78.46358",20,1
