timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1040074228,-1651060,-934850676,0,0,2399.4,63,0,0
1040074229,-1651060,-934850683,0.06,0,2399.4,63,0,0
1040074235,-1651133,-934850759,0.91,0,2399.4,66,0,0
1040074240,-1651274,-934850937,2.81,0,2399.4,69,0,0
1040074262,-1651204,-934851235,5.38,0,2399.8,66,0,0
1040074264,-1651240,-934851228,5.82,1.586,2399.8,68,0,0
1040074267,-1651914,-934850994,12.39,1.791,2400,68,0,0
1040074273,-1653638,-934850436,29.19,2.939,2400.6,68,0,0
1040074278,-1654642,-934849048,45.49,2.79,2402,69,0,0
1040074284,-1655012,-934847492,60.4,1.12,2403.4,71,0,0
1040074292,-1655112,-934846379,70.83,0.644,2405.4,72,0,0
1040074297,-1655384,-934845739,77.42,1.885,2406,69,0,0
1040074298,-1655534,-934845536,79.78,2.939,2406,69,0,0
1040074299,-1655756,-934845323,82.62,4.74,2406,69,0,0
1040074301,-1656490,-934844857,90.66,6.569,2406,69,0,0
1040074303,-1657671,-934844304,102.73,8.248,2406,69,0,0
1040074305,-1659417,-934843605,120.18,9.555,2406.2,69,0,0
1040074309,-1664890,-934841566,174.33,11.514,2406.4,70,0,0
1040074310,-1666244,-934841024,187.86,11.999,2406.4,71,0,0
1040074313,-1670409,-934839516,228.93,12.951,2405.6,74,0,0
1040074315,-1673374,-934838313,258.61,13.688,2405.2,77,0,0
1040074316,-1674916,-934837673,274.1,14.127,2405,78,0,0
1040074320,-1681541,-934834980,340.44,16.282,2406,81,0,0
1040074321,-1683289,-934834288,357.89,16.945,2406.6,81,0,0
1040074324,-1688772,-934832101,412.64,18.549,2409,83,0,0
1040074326,-1692711,-934830488,452.13,19.454,2410.2,85,0,0
1040074328,-1696699,-934828885,492.01,19.688,2411.4,88,0,0
1040074331,-1702727,-934826464,552.26,19.585,2412.8,88,0,0
1040074334,-1709000,-934823978,614.87,19.79,2414,87,0,0
1040074337,-1715346,-934821552,677.88,20.36,2415.2,86,0,0
1040074340,-1721783,-934819063,741.9,21.218,2416,85,0,0
1040074341,-1723953,-934818203,763.55,21.377,2416.2,85,0,0
1040074344,-1730680,-934815458,830.96,22.534,2416.6,85,0,0
1040074347,-1737614,-934812711,900.14,23,2416.8,83,0,0
1040074350,-1744298,-934810038,966.93,22.067,2417.2,81,0,0
1040074352,-1748360,-934808371,1007.66,20.313,2417.6,83,0,0
1040074356,-1755551,-934805490,1079.53,17.178,2418.6,81,0,0
1040074357,-1757196,-934804833,1095.95,16.767,2418.8,81,0,0
1040074360,-1761770,-934802837,1142.26,15.032,2419.6,76,0,0
1040074362,-1764490,-934801582,1170.06,13.931,2420,75,0,0
1040074365,-1767682,-934800070,1202.83,10.628,2420.2,67,0,0
1040074366,-1768454,-934799682,1210.85,8.948,2420.2,64,0,0
1040074368,-1769564,-934799082,1222.56,6.168,2420.2,61,0,0
1040074369,-1769937,-934798824,1226.76,5.356,2420.2,61,0,0
1040074373,-1770542,-934798317,1234.08,1.418,2420.4,62,0,0
1040074377,-1770276,-934798465,1235.15,0,2422.2,64,0,0
1040074384,-1770011,-934798565,1237.31,0,2424.8,63,0,0
1040074407,-1769878,-934798597,1238.41,0,2424.6,66,0,0
1040074409,-1769862,-934798597,1238.52,0,2424.6,70,0,0
1040074414,-1770512,-934798094,1246.17,2.23,2424.6,71,0,0
1040074420,-1772823,-934796443,1272.54,5.309,2424.2,72,0,0
1040074424,-1775257,-934794188,1303.39,8.164,2423.6,69,0,0
1040074430,-1779703,-934790066,1359.78,10.096,2423,67,0,0
1040074431,-1780581,-934789277,1370.75,10.6,2423,67,0,0
1040074436,-1785226,-934785285,1427.71,10.74,2423.8,66,0,0
1040074437,-1786177,-934784543,1438.92,10.889,2424,66,0,0
1040074442,-1791204,-934780598,1498.3,12.167,2424.6,64,0,0
1040074444,-1793467,-934778843,1524.92,12.858,2424.8,64,0,0
1040074448,-1798778,-934775123,1585.15,15.022,2425.6,63,0,0
1040074452,-1804625,-934771409,1649.48,15.993,2425.8,63,0,0
1040074454,-1807535,-934769478,1681.91,15.862,2425.8,64,0,0
1040074457,-1812143,-934766426,1733.25,16.926,2426.4,64,0,0
1040074460,-1817173,-934763356,1787.95,17.934,2427,65,0,0
1040074463,-1822046,-934760117,1842.29,17.84,2427.6,65,0,0
1040074466,-1826559,-934757081,1892.81,16.534,2428.8,65,0,0
1040074470,-1831929,-934753610,1952.19,14.127,2430.6,65,0,0
1040074471,-1833107,-934752945,1964.75,13.306,2430.8,65,0,0
1040074475,-1837359,-934750676,2009.49,10.88,2431.8,65,0,0
1040074480,-1843118,-934748011,2068.39,12.251,2432.6,65,0,0
1040074481,-1844398,-934747451,2081.35,12.671,2433,66,0,0
1040074485,-1850017,-934745134,2137.73,14.64,2434.6,67,0,0
1040074486,-1851589,-934744532,2153.35,15.368,2435,67,0,0
1040074489,-1856704,-934742659,2203.87,16.87,2435.8,66,0,0
1040074491,-1860020,-934741369,2236.87,16.413,2436.4,66,0,0
1040074495,-1866600,-934738603,2303.09,16.571,2437.8,66,0,0
1040074498,-1871605,-934736215,2354.55,16.693,2438.8,66,0,0
1040074499,-1873338,-934735408,2372.3,17.346,2439,66,0,0
1040074502,-1878712,-934733108,2426.53,18.027,2440.2,65,0,0
1040074505,-1884343,-934730878,2482.71,18.727,2441.6,64,0,0
1040074508,-1890290,-934728639,2541.66,19.492,2443.6,62,0,0
