timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1039969387,-3793195,-936059070,0,0,2474.2,64,0,0
1039969393,-3793200,-936059071,0.11,0,2476.8,67,0,0
1039969397,-3793200,-936059071,0.11,0,2477.4,70,0,0
1039969402,-3793200,-936059119,0.11,0,2477.6,73,0,0
1039969415,-3793241,-936059213,0.16,0,2478.2,70,0,0
1039969418,-3793243,-936059214,0.16,0,2478.4,67,0,0
1039969448,-3793088,-936058915,5.31,0,2479,68,0,0
1039969449,-3792749,-936058734,8.85,0.224,2479,68,0,0
1039969452,-3791034,-936058116,25.72,4.721,2479,69,0,0
1039969455,-3788925,-936057069,47.55,6.709,2479.2,74,0,0
1039969456,-3787992,-936056513,57.64,6.97,2479.4,77,0,0
1039969458,-3786310,-936055549,75.64,7.707,2479.6,80,0,0
1039969460,-3784397,-936054488,95.93,9.256,2479.8,84,0,0
1039969461,-3783556,-936054006,104.93,9.956,2479.8,84,0,0
1039969463,-3781400,-936052784,127.94,10.964,2479.8,85,0,0
1039969465,-3779450,-936051659,148.83,11.113,2480,84,0,0
1039969466,-3778802,-936051296,155.73,9.489,2480,83,0,0
1039969468,-3777771,-936050777,166.43,5.888,2480,77,0,0
1039969469,-3777204,-936050486,172.34,5.384,2480,76,0,0
1039969472,-3774669,-936049302,198.3,7.791,2480,76,0,0
1039969474,-3772616,-936048131,220.24,10.245,2480.2,78,0,0
1039969476,-3770285,-936046760,245.35,11.635,2480.4,78,0,0
1039969478,-3767796,-936045361,271.85,13.156,2480.6,77,0,0
1039969480,-3765711,-936044250,293.78,12.68,2480.4,76,0,0
1039969481,-3764642,-936043740,304.77,12.149,2480.2,77,0,0
1039969483,-3762586,-936042893,325.4,10.534,2479.6,76,0,0
1039969485,-3760996,-936042339,341.02,8.239,2479.2,73,0,0
1039969488,-3758727,-936041625,363.08,7.642,2479,71,0,0
1039969491,-3756250,-936040741,387.49,8.211,2478.4,73,0,0
1039969495,-3754007,-936039899,409.72,5.43,2478,74,0,0
1039969498,-3751634,-936039136,432.86,7.25,2478,75,0,0
1039969499,-3750871,-936038864,440.37,8.015,2478,75,0,0
1039969501,-3748721,-936038067,461.64,9.863,2477.6,74,0,0
1039969504,-3746140,-936037090,487.24,8.687,2476.2,73,0,0
1039969508,-3742215,-936035644,526.04,9.424,2474,72,0,0
1039969510,-3741132,-936035252,536.72,10.422,2473.8,72,0,0
1039969513,-3738273,-936034236,564.86,9.928,2473.2,71,0,0
1039969515,-3736704,-936033590,580.6,8.491,2473,68,0,0
1039969519,-3734575,-936032724,601.92,4.563,2472.8,66,0,0
1039969521,-3733439,-936032032,614.3,5.598,2472.6,66,0,0
1039969522,-3732942,-936031535,620.83,6.168,2472.6,66,0,0
1039969523,-3732617,-936031115,625.74,6.177,2472.8,66,0,0
1039969526,-3731621,-936029266,645.33,6.242,2473,67,0,0
1039969528,-3730263,-936028183,661.53,7.035,2473.6,69,0,0
1039969529,-3729348,-936027658,671.31,8.118,2473.8,69,0,0
1039969531,-3727323,-936026644,692.3,10.114,2474.4,70,0,0
1039969533,-3725479,-936025775,711.22,10.506,2474.6,71,0,0
1039969536,-3723539,-936024897,730.96,7.521,2474.8,70,0,0
